Date,Day #,# Pees,# Poops,Notes
2019-05-30,1,1,0,
2019-05-31,2,2,1,
2019-06-01,3,1,1,
2019-06-02,4,1,2,
2019-06-03,5,2,1,
2019-06-04,6,2,1,
2019-06-05,7,4,0,
2019-06-06,8,5,1,
2019-06-07,9,1,1,
2019-06-08,10,3,1,
2019-06-09,11,8,0,
2019-06-10,12,4,3,
2019-06-11,13,8,1,
2019-06-12,14,2,1,
2019-06-13,15,2,0,
2019-06-14,16,1,2,
2019-06-15,17,1,1,
2019-06-16,18,0,1,
2019-06-17,19,1,2,
2019-06-18,20,2,0,
2019-06-19,21,2,1,
2019-06-20,22,1,1,
2019-06-21,23,1,0,
2019-06-22,24,3,0,
2019-06-23,25,3,1,Escaped from Crate
2019-06-24,26,0,0,
2019-06-25,27,1,1,
2019-06-26,28,,3, 
2019-06-27,29,2,0,
2019-06-28,30,1,0,Excitment Pee
2019-06-29,31,2,2,Paula’s fault
2019-06-30,32,3,2,
2019-07-01,33,1,1,
2019-07-02,34,1,0,
2019-07-03,35,2,1,
2019-07-04,36,2,1,
2019-07-05,37,2,,
2019-07-06,38,3,,
2019-07-07,39,1,1,
2019-07-08,40,0,1,
2019-07-09,41,0,2,
2019-07-10,42,2,1,
2019-07-11,43,1,,
2019-07-12,44,2,1,
2019-07-13,45,3,1,
2019-07-14,46,2,1,
2019-07-15,47,1,2,
2019-07-16,48,1,1,
2019-07-17,49,2,2,
2019-07-18,50,1,1,
2019-07-19,51,5,1,
2019-07-20,52,1,1,
2019-07-21,53,1,1,
2019-07-22,54,,1,
2019-07-23,55,0,0,
2019-07-24,56,1,0,
2019-07-25,57,0,0,
2019-07-26,58,1,0,
2019-07-27,59,,1,
2019-07-28,60,2,1,
2019-07-29,61,1,1,
2019-07-30,62,2,,2 Excitement Pees
2019-07-31,63,2,1,
2019-08-01,64,2,2,
2019-08-02,65,2,1,
2019-08-03,66,1,1,
2019-08-04,67,0,1,
2019-08-05,68,1,,
2019-08-06,69,1,1,
2019-08-07,70,1,0,
2019-08-08,71,7,1,
2019-08-09,72,1,,
2019-08-10,73,3,1,
2019-08-11,74,1,1,
2019-08-12,75,1,,
2019-08-13,76,2,1,
2019-08-14,77,1,1,
2019-08-15,78,0,0,
2019-08-16,79,0,0,
2019-08-17,80,0,0,
2019-08-18,81,,,
2019-08-19,82,,,
2019-08-20,83,,,
2019-08-21,84,,,
2019-08-22,85,,,
2019-08-23,86,,,
2019-08-24,87,,,
2019-08-25,88,,,
2019-08-26,89,,,
2019-08-27,90,,,
2019-08-28,91,,,
2019-08-29,92,,,
2019-08-30,93,,,
2019-08-31,94,,,
2019-09-01,95,,,
2019-09-02,96,,,
2019-09-03,97,,,
2019-09-04,98,,,
2019-09-05,99,,,
2019-09-06,100,,,
2019-09-07,101,,,
2019-09-08,102,,,
2019-09-09,103,,,
2019-09-10,104,,,
2019-09-11,105,,,
2019-09-12,106,,,
2019-09-13,107,,,
2019-09-14,108,,,
2019-09-15,109,,,
2019-09-16,110,,,
2019-09-17,111,,,
2019-09-18,112,,,
2019-09-19,113,,,
2019-09-20,114,,,
2019-09-21,115,,,
2019-09-22,116,,,
2019-09-23,117,,,
2019-09-24,118,,,
2019-09-25,119,,,
2019-09-26,120,,,
2019-09-27,121,,,
2019-09-28,122,,,
2019-09-29,123,,,
2019-09-30,124,,,
2019-10-01,125,,,
2019-10-02,126,,,
2019-10-03,127,,,
2019-10-04,128,,,
2019-10-05,129,,,
2019-10-06,130,,,
2019-10-07,131,,,
2019-10-08,132,,,
2019-10-09,133,,,
2019-10-10,134,,,
2019-10-11,135,,,
2019-10-12,136,,,
2019-10-13,,,,
2019-10-14,,,,
2019-10-15,,,,
2019-10-16,,,,
2019-10-17,,,,
2019-10-18,,,,
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,,,
2019-10-22,,,,
2019-10-23,,,,
2019-10-24,,,,
2019-10-25,,,,
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,,,
2019-10-29,,,,
2019-10-30,,,,
2019-10-31,,,,
2019-11-01,,,,
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,,,
2019-11-05,,,,
2019-11-06,,,,
2019-11-07,,,,
2019-11-08,,,,
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,,,
2019-11-12,,,,
2019-11-13,,,,
2019-11-14,,,,
2019-11-15,,,,
